sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
EPI1901L	lane1	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L001_R1_001.fastq.gz	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L001_R2_001.fastq.gz			1
EPI1901L	lane2	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L002_R1_001.fastq.gz	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L002_R2_001.fastq.gz			1
EPI1901L	lane3	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L003_R1_001.fastq.gz	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L003_R2_001.fastq.gz			1
EPI1901L	lane4	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L004_R1_001.fastq.gz	Samples/20210512-EPI1901L_Hippocampus_T-RNAseq_D507_D702/20210512-EPI1901L-Hippocampus-T-RNAseq-D507-D702_S5_L004_R2_001.fastq.gz			1
EPI1901N	lane1	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L001_R1_001.fastq.gz	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L001_R2_001.fastq.gz			1
EPI1901N	lane2	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L002_R1_001.fastq.gz	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L002_R2_001.fastq.gz			1
EPI1901N	lane3	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L003_R1_001.fastq.gz	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L003_R2_001.fastq.gz			1
EPI1901N	lane4	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L004_R1_001.fastq.gz	Samples/20210512-EPI1901N_Hippocampus_T-RNAseq_D507_D701/20210512-EPI1901N-Hippocampus-T-RNAseq-D507-D701_S2_L004_R2_001.fastq.gz			1
EPI1902L	lane1	Samples/20210512-EPI1902L_Hippocampus_T-RNAseq_D508_D702/20210512-EPI1902L-Hippocampus-T-RNAseq-D508-D702_S3_L001_R1_001.fastq.gz	Samples/20210512-EPI1902L_Hippocampus_T-RNAseq_D508_D702/20210512-EPI1902L-Hippocampus-T-RNAseq-D508-D702_S3_L001_R2_001.fastq.gz			1
EPI1902L	lane2	Samples/20210512-EPI1902L_Hippocampus_T-RNAseq_D508_D702/20210512-EPI1902L-Hippocampus-T-RNAseq-D508-D702_S3_L002_R1_001.fastq.gz	Samples/20210512-EPI1902L_Hippocampus_T-RNAseq_D508_D702/20210512-EPI1902L-Hippocampus-T-RNAseq-D508-D702_S3_L002_R2_001.fastq.gz			1
